title,url,text,publication_date,author,tag
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Aleksey Romanov,Search
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Aleksey Romanov,ML & AI
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Aleksey Romanov,E-commerce
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Aleksandr Vasilev,Search
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Aleksandr Vasilev,ML & AI
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Aleksandr Vasilev,E-commerce
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Eugene Steinberg,Search
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Eugene Steinberg,ML & AI
Understanding search query intent with deep learning,https://blog.griddynamics.com/understanding-search-query-intent-with-deep-learning/,"Online retailers are always looking for ways to provide delightful and frictionless shopping experience to their customers. Product discovery, powered by search ",2020-02-22,Eugene Steinberg,E-commerce
Tiered machine learned ranking improves relevance for the retail search,https://blog.griddynamics.com/tiered-machine-learning-ranking-improves-relevance-for-the-retail-search/,Online retailers operating large catalogs are always looking to improve the quality of their product discovery functionality. Keyword search and category browse ,2020-03-03,Aleksandr Vasilev,Search
Tiered machine learned ranking improves relevance for the retail search,https://blog.griddynamics.com/tiered-machine-learning-ranking-improves-relevance-for-the-retail-search/,Online retailers operating large catalogs are always looking to improve the quality of their product discovery functionality. Keyword search and category browse ,2020-03-03,Eugene Steinberg,Search
Tiered machine learned ranking improves relevance for the retail search,https://blog.griddynamics.com/tiered-machine-learning-ranking-improves-relevance-for-the-retail-search/,Online retailers operating large catalogs are always looking to improve the quality of their product discovery functionality. Keyword search and category browse ,2020-03-03,Aleksandr Vasilev,ML & AI
Tiered machine learned ranking improves relevance for the retail search,https://blog.griddynamics.com/tiered-machine-learning-ranking-improves-relevance-for-the-retail-search/,Online retailers operating large catalogs are always looking to improve the quality of their product discovery functionality. Keyword search and category browse ,2020-03-03,Eugene Steinberg,ML & AI
Tiered machine learned ranking improves relevance for the retail search,https://blog.griddynamics.com/tiered-machine-learning-ranking-improves-relevance-for-the-retail-search/,Online retailers operating large catalogs are always looking to improve the quality of their product discovery functionality. Keyword search and category browse ,2020-03-03,Aleksandr Vasilev,E-commerce
Tiered machine learned ranking improves relevance for the retail search,https://blog.griddynamics.com/tiered-machine-learning-ranking-improves-relevance-for-the-retail-search/,Online retailers operating large catalogs are always looking to improve the quality of their product discovery functionality. Keyword search and category browse ,2020-03-03,Eugene Steinberg,E-commerce
Easily move your native app to Flutter,https://blog.griddynamics.com/easily-move-your-native-app-to-flutter/,"“But I already have an Android and iOS app, why would I need Flutter?” After you read this blog post, the answer will become obvious - to save time and money. “I",2019-07-31,Max Martynov,UI
Easily move your native app to Flutter,https://blog.griddynamics.com/easily-move-your-native-app-to-flutter/,"“But I already have an Android and iOS app, why would I need Flutter?” After you read this blog post, the answer will become obvious - to save time and money. “I",2019-07-31,Max Martynov,Mobile
